id,sampled,region,elevation,site,horizon,date,time,cbh,latitude,longitude,elevation,env conditions,comments,soil_temp,soil_moisture,light,air_temp,soil_ph,Soil Location 1 Average Soil Temp,Soil Measurement Location 1 replicate 1: Soil Temperature (SMLST1.1),SMLST1.2,SMLST1.3,Soil Location 1 Average Soil Moisture (%),Soil Measurement Location 1 replicate 1: Soil Moisture (SMLSM1.1),SMLSM1.2,SMLSM1.3,Soil Location 1 Average Light,Soil Measurement Location 1 replicate 1: Light (SMLL1.1)- (kLX),SMLL1.2,SMLL1.3,Soil Location 1 Average Air Temp,Soil Measurement Location 1 replicate 1: Air Temperature (SMLAT1.1),SMLAT1.2,SMLAT1.3,Soil Location 1 Average Soil pH,Soil Measurement Location 1 replicate 1: pH (SMLpH1.1),SMLpH1.2,SMLpH1.3,Soil Location 2 Average Soil Temp,Soil Measurement Location 2 replicate 1: Soil Temperature (SMLST2.1),SMLST2.2,SMLST2.3,Soil Location 2 Average Soil Moisture,Soil Measurement Location 2 replicate 1: Soil Moisture (SMLSM2.1),SMLSM2.2,SMLSM2.3,Soil Location 2 Average Light,Soil Measurement Location 2 replicate 1: Light (SMLL2.1)- (kLX),SMLL2.2,SMLL2.3,Soil Location 2 Average Air Temp,Soil Measurement Location 2 replicate 1: Air Temperature (SMLAT2.1),SMLAT2.2,SMLAT2.3,Soil Location 2 Average Soil pH,Soil Measurement Location 2 replicate 1: pH (SMLpH2.1),SMLpH2.2,SMLpH2.3,Soil Location 3 Average Soil Temp,Soil Measurement Location 3 replicate 1: Soil Temperature (SMLST3.1),SMLST3.2,SMLST3.3,Soil Location 3 Average Soil Moisture,Soil Measurement Location 3 replicate 1: Soil Moisture (SMLSM3.1),SMLSM3.2,SMLSM3.3,Soil Location 3 Average Light,Soil Measurement Location 3 replicate 1: Light (SMLL3.1)- (kLX),SMLL3.2,SMLL3.3,Soil Location 3 Average Air Temp,Soil Measurement Location 3 replicate 1: Air Temperature (SMLAT3.1),SMLAT3.2,SMLAT3.3,Soil Location 3 Average Soil pH,Soil Measurement Location 3 replicate 1: pH (SMLpH3.1),SMLpH3.2,SMLpH3.3,Stand Density (w/in 10m),North (N),Northeast (NE),East (E),Southeast (SE),South (S),Southwest (SW),West (W),Northwest (NW),Average Stand Composition,North (N),Northeast (NE),East (E),Southeast (SE),South (S),Southwest (SW),West (W),Northwest (NW)
NW-LP-02-24,Lodgepole Pine,NW,,2,,7/24/24,1350,63,43.24418,-109.49578,9957,Partly Cloudy,,76.33333333,0.666666667,6.1,85.33333333,4.866666667,76.33333333,77,76,76,0.666666667,1,1,0,6.1,4.7,4.6,9,85.33333333,89,84,83,4.866666667,4.5,5.2,4.9,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,2.25,2,0,0,0,0,12,2,2,,"1 small LP, 1 lg LP",0,0,0,0,"5 lg LP, 2 lg WBP, 3 small WBP, 1 med LP, 1 lg EngelSpr","1 lg WBP, 1 lg LP","1 small LP, 1 lg LP"
NW-MD-01-24,Meadow,NW,,1,,7/24/24,1555,0,43.2658,-109.49582,10087,Overcast,,76,4,11,81.1,5.1,76,76,,,4,4,,,11,11,,,81.1,81.1,,,5.1,5.1,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,,,,,,,,,,,,,,
NW-MD-02-24,Meadow,NW,,2,,7/24/24,1555,0,43.44297,-109.82648,10087,Overcast,,74,1,9,79,5.1,74,74,,,1,1,,,9,9,,,79,79,,,5.1,5.1,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,,,,,,,,,,,,,,
NW-MD-03-24,Meadow,NW,,3,,7/24/24,1555,0,43.2658,-109.49582,10087,Overcast,,69,2,10.7,78,5,69,69,,,2,2,,,10.7,10.7,,,78,78,,,5,5,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,,,,,,,,,,,,,,
SW-ASP-01-24,Aspen,SW,,1,,8/2/24,1010,65,42.5815,-109.254249,8127.037,"Clear skies, light breeze",,56.58888889,5.555555556,58.21111111,98,5.933333333,56.9,56.7,57.2,56.8,8.333333333,15,5,5,57.9,64,52.4,57.3,94.66666667,96,94,94,5.4,4.8,5.6,5.8,56.96666667,57.4,57,56.5,0.666666667,1,0,1,64.2,60,63.8,68.8,94.66666667,96,94,94,6.333333333,6.2,6.5,6.3,55.9,56.7,55.6,55.4,7.666666667,6,8,9,52.53333333,57.5,46.2,53.9,104.6666667,105,105,104,6.066666667,6.1,5.9,6.2,1.75,1,3,2,3,2,3,0,0,,1 med Asp,"2 small Asp, 1 med Asp",2 small Asp,3 small Asp,2 lg Asp,"2 med Asp, 1 small Asp",0,0
SW-ASP-02-24,Aspen,SW,,2,,8/8/24,1453,84,42.659354,-109.263106,9174,"Rocky, lots of downed trees",,57.72222222,1.444444444,12.25555556,73.12222222,6.111111111,58.1,58.1,58.1,58.1,0,0,0,0,10.5,5.9,9.8,15.8,61.7,62.2,61.2,61.7,6.266666667,6.3,5.8,6.7,57.43333333,57.6,57.4,57.3,1.333333333,2,1,1,11.1,4.9,17.3,11.1,84.4,84.6,85.3,83.3,5.733333333,5.8,5.7,5.7,57.63333333,57.7,57.6,57.6,3,3,3,3,15.16666667,14.4,16.5,14.6,73.26666667,72.7,73,74.1,6.333333333,6,6.6,6.4,6.375,4,8,5,5,8,5,10,6,,"3 small Asp, 1 lg WBP","2 med LP, 2 lg LP, 1 small WBP, 1 med WBP, 1 lg WBP","1 small Lp, 1 lg WBP, 3 lg LP","1 med Asp, 1 lg WBP, 2 lg LP, 1 med LP","1 small WBP, 2 med WBP, 3 lg LP, 1 med LP, 1 lg Asp","1 small WBP, 1 lg Asp, 2 lg WBP, 1 med WBP","3 small Asp, 1 med Asp, 3 small WBP, 3 med WBP","2 lg WBP, 1 med WBP, 1 med Asp, 2 lg LP"
SW-ASP-03-24,Aspen,SW,,3,,8/8/24,1633,71,42.660279,-109.263045,9279,Overcast,"Fallen debris, rocky",53.21111111,2.222222222,4.177777778,66.33333333,5.9,56.3,56.5,56.3,56.1,1.333333333,1,1,2,5.133333333,4.6,5.4,5.4,71.46666667,71.1,71.2,72.1,5.533333333,5.5,5.4,5.7,51.8,52,51.6,51.8,2.666666667,2,5,1,4.666666667,5.2,4.8,4,63.83333333,62.8,63.7,65,5.9,5.8,6.2,5.7,51.53333333,51.6,51.4,51.6,2.666666667,3,2,3,2.733333333,2.8,2.4,3,63.7,63,63.9,64.2,6.266666667,6.1,6.1,6.6,7.75,10,15,4,6,3,4,11,9,,"1 med LP, 1 lg WBP, 4 med Asp, 1 lg Asp, 3 small Asp","1 med WBP, 1 small WBP, 11 small Asp, 2 med Asp","2 lg Asp, 2 med WBP","2 lg LP, 1 med WBP, 2 small Asp, 1 med Asp","1 lg LP, 1 small WBP, 2 small Asp","5 lg WBP, 4 small Asp, 2 med Asp","5 lg Asp, 2 med Asp, 1 small WBP, 1 lg LP",
SW-LP-01-24,Lodgepole Pine,SW,,1,,8/7/24,1538,83,42.658999,-109.263388,9177,Hazy from smoke,,53.42222222,1.666666667,2.911111111,73.54444444,5.344444444,53.5,52.9,53.6,54,1,2,0,1,3.3,3,3.1,3.8,72.73333333,74.1,73,71.1,4.833333333,5,4.5,5,54.06666667,53.2,53.6,55.4,1.333333333,1,1,2,3.5,3.9,3.2,3.4,73.93333333,75.6,72.9,73.3,5.533333333,5.9,5.3,5.4,52.7,52.9,52.5,52.7,2.666666667,0,5,3,1.933333333,1.9,1.7,2.2,73.96666667,74.3,72.9,74.7,5.666666667,5.6,5.7,5.7,4.125,2,3,10,7,5,4,2,0,,2 lg Asp,"2 lg WBP, 1 lg Asp","2 small WBP, 8 small Asp","1 lg WBP, 4 small WBP, 2 lg Asp","1 small WBP, 1 med WBP, 1 lg LP, 1 lg Asp, 1 med Asp","3 lg LP, 1 med Asp","1 small LP, 1 lg LP","1 small LP, 1 lg LP"
SW-LP-02-24,Lodgepole Pine,SW,,2,,8/8/24,930,181,42.65916,-109.26286,9193.362,Haze from Cali/Idaho fires,"Lots of woody debris, fallen dead lps surrounding/ possibly missiletoe burr?, Split tree",50.66666667,4.888888889,1.466666667,55.52222222,4.933333333,50.13333333,50.2,50.2,50,5.333333333,5,8,3,1.533333333,1,1.8,1.8,56,56.3,55.4,56.3,5.066666667,5.1,5.1,5,48.9,48.9,48.7,49.1,1.666666667,1,2,2,1.266666667,1,1.2,1.6,54.2,53.2,54.7,54.7,4.9,4.8,5,4.9,52.96666667,52.9,53.1,52.9,7.666666667,7,7,9,1.6,1.2,1.8,1.8,56.36666667,56.8,57.4,54.9,4.833333333,4.6,5,4.9,3.75,3,0,3,2,5,7,7,3,,3 lg LP,0,"1 small WBP, 1 med WBP, 1 lg LP",2 lg LP,"2 small WBP, 3 lg LP","2 med LP, 1 med WBP, 4 lg LP","2 med LP, 2 lg LP,1 med WBP, 2 small WBP",3 lg LP
SW-LP-03-24,Lodgepole Pine,SW,,3,,8/8/24,1140,89,42.65983,-109.263105,9208,"Smoke from fires, Partly cloudy, rocky area with downed wood",,51.9,1.444444444,11.85555556,64.97777778,5.222222222,52.93333333,52.2,53.2,53.4,1.333333333,1,2,1,27.5,7.4,19.1,56,65.66666667,63,70.3,63.7,5.233333333,5,5.3,5.4,53.33333333,53.2,53.6,53.2,0.666666667,0,1,1,2.066666667,1.8,1.4,3,66.83333333,63.9,61.9,74.7,5.333333333,5,5.5,5.5,49.43333333,49.6,49.6,49.1,2.333333333,2,2,3,6,3,8.1,6.9,62.43333333,63.9,64.9,58.5,5.1,4.8,5.3,5.2,7.875,5,6,18,3,7,8,8,8,,"2 med Asp, 2 lg Asp, 1 lg LP","1 med WBP, 3 small Asp, 2 lg LP","1 small WBP, 1 med WBP, 3 med LP, 13 lg LP","1 small LP, 2 small Asp","3 lg Asp, 1 med WBP, 1 small WBP, 2 lg","3 small Asp, 3 med Asp, 1 lg Asp, 1 lg LP","3 lg Asp, 1 med Asp, 1 small WBP, 1 lg WBP, 2 med LP","2 lg LP, 2 small Asp, 3 med Asp, 3 med Asp, 1 lg Asp"
WC-LP-01-24,Lodgepole Pine,WC,,1,,9/2/24,,105,42.951944,-109.765556,8220,,"Recent burn, lots of elk poop",55.21111111,1,34.78888889,92.36666667,5.388888889,55.53333333,55.4,55.8,55.4,2.333333333,4,3,0,11.3,9.8,10.4,13.7,73.9,73.9,73.9,73.9,6.033333333,6,6,6.1,54.83333333,54.9,54.7,54.9,0.333333333,1,0,0,49.73333333,58.9,60.2,30.1,108,108,108,108,5.133333333,5.3,5,5.1,55.26666667,56.1,54.7,55,0.333333333,1,0,0,43.33333333,38.1,41.5,50.4,95.2,95.2,95.2,95.2,5,5.1,5.2,4.7,3.625,3,1,1,2,16,0,3,3,,"2 med LP, 1 lg LP",1 sm ASP,1 med LP,2 small LP,"10 small Asp, 4 med Asp, 1 lg LP, 1 small LP",0,"1 med Lp, 2 lg LP","1 lg Lp, 2 med LP"
WC-LP-02-24,Lodgepole Pine,WC,,2,,9/2/24,,116,42.952222,-109.765278,8230,"Clear skies, no wind","Recent burn, lots of elk poop",55.17777778,0.777777778,59.37777778,96.63333333,5.622222222,56.9,56.7,57.7,56.3,0.333333333,0,0,1,48.26666667,68.4,34.6,41.8,86,86,86,86,5.833333333,5.9,5.5,6.1,51.36666667,51.4,50.9,51.8,2,1,3,2,62.66666667,48.9,65.6,73.5,92.5,92.5,92.5,92.5,5.233333333,5,5.8,4.9,57.26666667,57.2,57.2,57.4,0,0,0,0,67.2,69.2,68.8,63.6,111.4,111.4,111.4,111.4,5.8,6,5.8,5.6,5.125,6,10,12,2,2,6,1,2,,6 small Asp,"6 small Asp, 2 med Asp, 1 small LP, 1 med LP","4 small LP, 2 med LP, 1 med Asp, 4 small Asp, 1 small LP",2 small Asp,"1 lg LP, 1 small LP","2 lg Asp, 2 lg LP, 2 small WBP",1 lg LP,"1 med LP, 1 small Asp"
WC-LP-03-24,Lodgepole Pine,WC,,3,,9/3/24,,122,42.953056,-109.765278,8230,"Clear skies, light wind",,56.16666667,2.444444444,18.56666667,94.9,5.411111111,57.23333333,56.7,57.4,57.6,2.666666667,4,3,1,14.13333333,10.5,10.1,21.8,89.1,89.1,89.1,89.1,5.266666667,5,5.3,5.5,55.3,55.4,55.8,54.7,0,0,0,0,8.166666667,13.8,5.4,5.3,106.9,106.9,106.9,106.9,5.333333333,5.4,5.5,5.1,55.96666667,56.3,55.8,55.8,4.666666667,5,2,7,33.4,31.8,10.7,57.7,88.7,88.7,88.7,88.7,5.633333333,5.7,5.4,5.8,3.375,4,3,1,4,4,4,3,4,,"2 med LP, 1 sm",3 small LP,1 med LP,4 small LP,"1 med LP, 3 sm LP","2 med LP, 1 med LP, 1 small LP",3 small LP,"1 lg LP, 2 med LP, 1 small LP"
WC-MD-01-24,Meadow,WC,,1,,9/3/24,,0,42.955,-109.7675,8210,"Clear skies, light wind",Near FS road,70.52222222,2.222222222,64.18888889,97.7,6.322222222,69.63333333,68.5,72,68.4,2,1,3,2,63.3,60.6,65.3,64,97.7,97.7,97.7,97.7,6.233333333,6.3,6,6.4,69.8,67.3,71.2,70.9,1.333333333,1,2,1,64.63333333,65.6,63.2,65.1,97.7,97.7,97.7,97.7,6.466666667,6.8,6.1,6.5,72.13333333,72.3,72.1,72,3.333333333,2,6,2,64.63333333,65.6,63.2,65.1,97.7,97.7,97.7,97.7,6.266666667,6.7,6.1,6,#DIV/0!,,,,,,,,,,,,,,,,,
WC-MD-02-24,Meadow,WC,,2,,9/3/24,,0,42.955,-109.7675,8210,"Clear skies, light wind",Near FS road,73.83333333,1.444444444,65.62222222,95.2,6,82.23333333,80.1,82.9,83.7,1,1,0,2,65.66666667,66.3,64.8,65.9,95.2,95.2,95.2,95.2,6.2,6,6.1,6.5,71.53333333,70.5,71.4,72.7,1,2,0,1,67.53333333,65.7,65.9,71,95.2,95.2,95.2,95.2,6.1,6.1,6.4,5.8,67.73333333,66.9,68.5,67.8,2.333333333,2,3,2,63.66666667,63.1,64.1,63.8,95.2,95.2,95.2,95.2,5.7,5.7,5.5,5.9,#DIV/0!,,,,,,,,,,,,,,,,,
WC-MD-03-24,Meadow,WC,,3,,9/3/24,,0,42.955,-109.7675,8210,"Clear skies, light wind",Near FS road,69.55555556,3.444444444,56.2,91.8,6,71.73333333,73,71,71.2,5.333333333,5,7,4,65.66666667,63.5,62.7,70.8,91.8,91.8,91.8,91.8,5.8,5.8,5.7,5.9,67.7,72.5,66.4,64.2,3.666666667,2,4,5,43.5,59.8,57.8,12.9,91.8,91.8,91.8,91.8,5.933333333,6.1,5.9,5.8,69.23333333,69.6,75,63.1,1.333333333,2,1,1,59.43333333,61.8,58.8,57.7,91.8,91.8,91.8,91.8,6.266666667,6.5,6.4,5.9,#DIV/0!,,,,,,,,,,,,,,,,,
SW-LP-High-01-O,Lodgepole Pine,SW,High,1,,7/3/25,1854,56,42.618611,-109.12722,9660,,Fresh Rain from past 2 days,55.86666667,6.555555556,883.7777778,48.7,5.744444444,55.03333333,54.7,55.2,55.2,8.666666667,8,9,9,666,588,802,608,48.7,48.7,48.7,48.7,5.566666667,5.4,5.7,5.6,55.83333333,55.2,55.3,57,7.666666667,7,9,7,852,779,805,972,48.7,48.7,48.7,48.7,5.833333333,5.7,5.8,6,56.73333333,56.7,56.8,56.7,3.333333333,3,6,1,1133.333333,1200,1200,1000,48.7,48.7,48.7,48.7,5.833333333,5.8,5.9,5.8,29,0,0,3,3,6,3,7,7,,,,,,,,,
